COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_42 | TO: P3_GROUP_4 | MSG: What's the answer 2 life? | TIMESTAMP: 13.10.19 -=- 22:10:42
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: Luftballons?? | TIMESTAMP: 14.10.19 -=- 21:11:26
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_50 | MSG: Hallo fra sidmenningunni. | TIMESTAMP: 14.10.19 -=- 21:21:55
COMMAND: GET | isBot: TRUE | FROM: P3_GROUP_99 | TO: P3_GROUP_4 | MSG: BLASADIR STRAKAR  | TIMESTAMP: 14.10.19 -=- 21:23:12
COMMAND: GET | isBot: TRUE | FROM: P3_GROUP_99 | TO: P3_GROUP_4 | MSG: YO HAVE U SEEN FUTURAMA THO  | TIMESTAMP: 14.10.19 -=- 21:23:12
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_50 | MSG: Hallo fra sidmenningunni. | TIMESTAMP: 14.10.19 -=- 21:23:12
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_50 | TO: P3_GROUP_4 | MSG: Takk fyrir skilabodid | TIMESTAMP: 14.10.19 -=- 21:23:48
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_50 | TO: P3_GROUP_4 | MSG: Takk fyrir skilabodid | TIMESTAMP: 14.10.19 -=- 21:23:48
COMMAND: GET | isBot: TRUE | FROM: P3_GROUP_99 | TO: P3_GROUP_4 | MSG: YO HAVE U SEEN FUTURAMA THO  | TIMESTAMP: 14.10.19 -=- 21:24:12
COMMAND: GET | isBot: TRUE | FROM: P3_GROUP_50 | TO: P3_GROUP_4 | MSG: Takk fyrir skilabodid | TIMESTAMP: 14.10.19 -=- 21:24:12
COMMAND: GET | isBot: TRUE | FROM: P3_GROUP_50 | TO: P3_GROUP_4 | MSG: Takk fyrir skilabodid | TIMESTAMP: 14.10.19 -=- 21:24:49
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_103 | TO: P3_GROUP_4 | MSG: HALLO AEEEGS! | TIMESTAMP: 14.10.19 -=- 21:28:34
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_103 | TO: P3_GROUP_4 | MSG: HALLO AEEEGS! | TIMESTAMP: 14.10.19 -=- 21:28:34
COMMAND: GET | isBot: TRUE | FROM: P3_GROUP_103 | TO: P3_GROUP_4 | MSG: HALLO AEEEGS! | TIMESTAMP: 14.10.19 -=- 21:28:58
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_105 | TO: P3_GROUP_4 | MSG: Hello group 4 regards from group 105  | TIMESTAMP: 14.10.19 -=- 21:29:24
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_105 | TO: P3_GROUP_4 | MSG: Hello group 4 regards from group 105  | TIMESTAMP: 14.10.19 -=- 21:29:24
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_103 | MSG: Blessadur madur. Kjartan bidur ad heilsa. | TIMESTAMP: 14.10.19 -=- 21:29:59
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_103 | MSG: Blessadur madur. Kjartan bidur ad heilsa. | TIMESTAMP: 14.10.19 -=- 21:29:59
COMMAND: GET | isBot: TRUE | FROM: P3_GROUP_103 | TO: P3_GROUP_4 | MSG: HALLO AEEEGS! | TIMESTAMP: 14.10.19 -=- 21:30:22
COMMAND: GET | isBot: TRUE | FROM: P3_GROUP_105 | TO: P3_GROUP_4 | MSG: Hello group 4 regards from group 105  | TIMESTAMP: 14.10.19 -=- 21:30:22
COMMAND: GET | isBot: TRUE | FROM: P3_GROUP_105 | TO: P3_GROUP_4 | MSG: Hello group 4 regards from group 105  | TIMESTAMP: 14.10.19 -=- 21:30:22
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_73 | TO: P3_GROUP_4 | MSG: Saelir vinir! | TIMESTAMP: 14.10.19 -=- 21:33:20
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_73 | TO: P3_GROUP_4 | MSG: Saelir vinir! | TIMESTAMP: 14.10.19 -=- 21:33:20
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_105 | TO: P3_GROUP_4 | MSG: please sir! can i please have some more messages  | TIMESTAMP: 14.10.19 -=- 21:34:09
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_105 | TO: P3_GROUP_4 | MSG: please sir! can i please have some more messages  | TIMESTAMP: 14.10.19 -=- 21:34:09
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_103 | TO: P3_GROUP_4 | MSG: HALLO AEEGS! | TIMESTAMP: 14.10.19 -=- 21:35:47
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_103 | TO: P3_GROUP_4 | MSG: HALLO AEEGS! | TIMESTAMP: 14.10.19 -=- 21:35:47
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_103 | MSG: SVENNNINNNNI | TIMESTAMP: 14.10.19 -=- 21:35:49
COMMAND: GET | isBot: TRUE | FROM: P3_GROUP_73 | TO: P3_GROUP_4 | MSG: Saelir vinir! | TIMESTAMP: 14.10.19 -=- 21:36:13
COMMAND: GET | isBot: TRUE | FROM: P3_GROUP_105 | TO: P3_GROUP_4 | MSG: please sir! can i please have some more messages  | TIMESTAMP: 14.10.19 -=- 21:36:13
COMMAND: GET | isBot: TRUE | FROM: P3_GROUP_103 | TO: P3_GROUP_4 | MSG: HALLO AEEGS! | TIMESTAMP: 14.10.19 -=- 21:36:13
COMMAND: GET | isBot: TRUE | FROM: P3_GROUP_105 | TO: P3_GROUP_4 | MSG: please sir! can i please have some more messages  | TIMESTAMP: 14.10.19 -=- 21:36:13
COMMAND: GET | isBot: TRUE | FROM: P3_GROUP_103 | TO: P3_GROUP_4 | MSG: HALLO AEEGS! | TIMESTAMP: 14.10.19 -=- 21:36:13
COMMAND: GET | isBot: TRUE | FROM: P3_GROUP_103 | TO: P3_GROUP_4 | MSG: HALLO AEEGS! | TIMESTAMP: 14.10.19 -=- 21:36:37
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_103 | TO: P3_GROUP_4 | MSG: HALLO AAEEEGGGSSSS! | TIMESTAMP: 14.10.19 -=- 21:37:10
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_103 | TO: P3_GROUP_4 | MSG: HALLO AAEEEGGGSSSS! | TIMESTAMP: 14.10.19 -=- 21:37:10
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_103 | TO: P3_GROUP_4 | MSG: HALLO AAEEEGGGSSSS! | TIMESTAMP: 14.10.19 -=- 21:37:10
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_103 | TO: P3_GROUP_4 | MSG: HALLO AAEEEGGGSSSS! | TIMESTAMP: 14.10.19 -=- 21:37:10
COMMAND: GET | isBot: TRUE | FROM: P3_GROUP_103 | TO: P3_GROUP_4 | MSG: HALLO AAEEEGGGSSSS! | TIMESTAMP: 14.10.19 -=- 21:37:24
COMMAND: GET | isBot: TRUE | FROM: P3_GROUP_103 | TO: P3_GROUP_4 | MSG: HALLO AAEEEGGGSSSS! | TIMESTAMP: 14.10.19 -=- 21:37:24
COMMAND: GET | isBot: TRUE | FROM: P3_GROUP_103 | TO: P3_GROUP_4 | MSG: HALLO AAEEEGGGSSSS! | TIMESTAMP: 14.10.19 -=- 21:37:24
COMMAND: GET | isBot: TRUE | FROM: P3_GROUP_103 | TO: P3_GROUP_4 | MSG: HALLO AAEEEGGGSSSS! | TIMESTAMP: 14.10.19 -=- 21:37:27
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_103 | MSG: Sunny Sunny | TIMESTAMP: 14.10.19 -=- 21:38:29
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_103 | MSG: Sunny Sunny | TIMESTAMP: 14.10.19 -=- 21:38:29
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_140 | MSG: The cake is a lie! | TIMESTAMP: 14.10.19 -=- 21:39:54
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_140 | MSG: The cake is a lie! | TIMESTAMP: 14.10.19 -=- 21:39:54
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_53 | MSG: Hello from group 4. | TIMESTAMP: 14.10.19 -=- 22:43:34
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_109 | TO: P3_GROUP_4 | MSG: Hello Pepe... r u the frog? | TIMESTAMP: 14.10.19 -=- 22:48:19
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_109 | TO: P3_GROUP_4 | MSG: Hello Pepe... r u the frog? | TIMESTAMP: 14.10.19 -=- 22:48:19
COMMAND: GET | isBot: TRUE | FROM: P3_GROUP_109 | TO: P3_GROUP_4 | MSG: Hello Pepe... r u the frog? | TIMESTAMP: 14.10.19 -=- 22:48:34
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_109 | MSG: The most rare of all Pepes... | TIMESTAMP: 14.10.19 -=- 22:49:02
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_109 | MSG: The most rare of all Pepes... | TIMESTAMP: 14.10.19 -=- 22:49:32
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_103 | TO: P3_GROUP_4 | MSG: HEY HEY HEY GAMAN AD SJA TIG AEEGS! | TIMESTAMP: 14.10.19 -=- 23:13:31
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_103 | TO: P3_GROUP_4 | MSG: HEY HEY HEY GAMAN AD SJA TIG AEEGS! | TIMESTAMP: 14.10.19 -=- 23:13:31
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_103 | MSG: Hi sveinn.How is life? | TIMESTAMP: 14.10.19 -=- 23:13:39
COMMAND: GET | isBot: TRUE | FROM: P3_GROUP_103 | TO: P3_GROUP_4 | MSG: HEY HEY HEY GAMAN AD SJA TIG AEEGS! | TIMESTAMP: 14.10.19 -=- 23:14:07
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_42 | TO: P3_GROUP_4 | MSG: not random | TIMESTAMP: 14.10.19 -=- 23:15:13
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_42 | TO: P3_GROUP_4 | MSG: not random | TIMESTAMP: 14.10.19 -=- 23:15:13
COMMAND: GET | isBot: TRUE | FROM: P3_GROUP_103 | TO: P3_GROUP_4 | MSG: HEY HEY HEY GAMAN AD SJA TIG AEEGS! | TIMESTAMP: 14.10.19 -=- 23:15:24
COMMAND: GET | isBot: TRUE | FROM: P3_GROUP_42 | TO: P3_GROUP_4 | MSG: not random | TIMESTAMP: 14.10.19 -=- 23:15:24
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_42 | TO: P3_GROUP_4 | MSG: NOT RANDOM | TIMESTAMP: 14.10.19 -=- 23:16:21
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_42 | TO: P3_GROUP_4 | MSG: NOT RANDOM | TIMESTAMP: 14.10.19 -=- 23:16:21
